Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description
(化)教授会,03/08/2023,15:00,03/08/2023,18:00,False,"開催月日: 3月8日(水)
時間: 15:00
会議名: (化)教授会"
(化)代議員会議,03/08/2023,15:00,03/08/2023,18:00,False,"開催月日: 3月8日(水)
時間: 引き続き
会議名: (化)代議員会議
主な審議事項: 大学院2次入試合格者決定，研究生・科目等履修生・聴講生等許可，募集要項(AGSを含む。)，国際連携総合化学プログラムの実施"
(工)学部教授会,03/13/2023,10:30,03/13/2023,13:30,False,"開催月日: 3月13日(月)
時間: 10:30
会議名: (工)学部教授会
主な審議事項: 年度計画の実施状況
備考: 教授会送別会"
(工)研究院教授会,03/13/2023,10:30,03/13/2023,13:30,False,"開催月日: 3月13日(月)
時間: 引き続き
会議名: (工)研究院教授会
主な審議事項: 年度計画の実施状況
備考: 教授会送別会"
(工)学院教授会,03/13/2023,10:30,03/13/2023,13:30,False,"開催月日: 3月13日(月)
時間: 引き続き
会議名: (工)学院教授会
主な審議事項: 年度計画の実施状況
備考: 教授会送別会"
(工)学部代議員会,03/13/2023,13:30,03/13/2023,16:30,False,"開催月日: 3月13日(月)
時間: 13:30
会議名: (工)学部代議員会
主な審議事項: コース分属決定，研究生・科目等履修生・聴講生等許可, 卒業者判定
備考: 教授会送別会"
(工)研究院代議員会,03/13/2023,13:30,03/13/2023,16:30,False,"開催月日: 3月13日(月)
時間: 引き続き
会議名: (工)研究院代議員会
主な審議事項: 研究生の入学許可
備考: 教授会送別会"
(工)学院代議員会,03/13/2023,13:30,03/13/2023,16:30,False,"開催月日: 3月13日(月)
時間: 引き続き
会議名: (工)学院代議員会
主な審議事項: 科目等履修生・聴講生等許可
備考: 教授会送別会"
(情)学院教授会,03/16/2023,13:30,03/16/2023,16:30,False,"開催月日: 3月16日(木)
時間: 13:30
会議名: (情)学院教授会"
(情)研究院教授会,03/16/2023,13:30,03/16/2023,16:30,False,"開催月日: 3月16日(木)
時間: 引き続き
会議名: (情)研究院教授会"
(情)コース長会議,03/16/2023,13:30,03/16/2023,16:30,False,"開催月日: 3月16日(木)
時間: 引き続き
会議名: (情)コース長会議
主な審議事項: 研究生・科目等履修生・聴講生等許可"
(情)部門長会議,03/16/2023,13:30,03/16/2023,16:30,False,"開催月日: 3月16日(木)
時間: 引き続き
会議名: (情)部門長会議"
